typeI_score,typeII_score,typeIII_score,typeIV_score,typeV_score,actual_type
-0.14,2.4400000000000004,-0.518,0.21799999999999997,-2.0,II
0.8613999999999999,2.4386,-0.7589999999999999,-0.577,-1.964,II
-0.18059999999999998,2.4370000000000003,-0.8444,0.588,-2.0,II
0.8525,1.4369,0.1961,-0.5990000000000001,-1.8864999999999998,II
0.86,2.4400000000000004,-0.9710000000000001,-0.32900000000000007,-2.0,I
-1.1442,2.4400000000000004,-0.8317999999999999,0.5359999999999999,-1.0,II
1.8176,1.4824000000000002,-0.03200000000000003,-1.268,-2.0,I
0.8624999999999999,2.4248000000000003,-0.9633,-0.32400000000000007,-2.0,I
-0.13559999999999994,2.4394,-0.897,0.5932,-2.0,I
1.2170999999999998,1.2639,0.8109999999999999,-2.292,-1.0,I
-1.1137,1.4125999999999999,1.41,0.2909999999999999,-1.9999,III
1.7943,1.5057,-0.392,-0.9079999999999999,-2.0,IV
-0.14139999999999997,-0.5586,-2.0,1.581,1.119,II
-0.14039999999999997,2.4400000000000004,-0.8616000000000001,0.5619999999999999,-2.0,II
1.3235999999999999,1.9754,-0.02100000000000002,-1.278,-2.0,I
-0.14,2.26,-0.806,0.6819999999999999,-1.996,II
-1.1231,2.4161,1.0070000000000001,-0.30000000000000004,-2.0,I
0.86,2.4400000000000004,-0.119,-1.181,-2.0,I
0.8278,2.4320000000000004,-0.8504,-0.41400000000000003,-1.9954,I
1.2511,2.0489,-0.9219999999999999,-0.378,-2.0,I
0.8621,-0.56,1.1699,0.5279999999999999,-2.0,III
-2.1386000000000003,1.44,1.983,-0.28300000000000003,-1.0013999999999998,II
1.4434,1.8566,-0.9990000000000001,-0.30100000000000005,-2.0,I
0.8866999999999999,2.4076000000000004,-1.0,-0.2943,-2.0,I
-0.8671,2.0033,-0.23730000000000007,-0.8884000000000001,-0.010499999999999954,I
-2.0685000000000002,0.5660000000000001,0.8805000000000001,1.621,-0.999,III
0.8603,2.4397,-0.938,-0.3620000000000001,-2.0,II
0.2891999999999999,-0.49650000000000016,1.971,-1.7597,-0.0040000000000000036,III
-0.14060000000000006,2.4400000000000004,-0.132,-0.17500000000000004,-1.9924,II
-1.1502,2.434,0.8899,-0.18400000000000005,-1.9897,II
0.86,2.4400000000000004,-0.9849999999999999,-0.31500000000000006,-2.0,II
-0.909,0.21000000000000008,-1.0,0.7,0.999,V
0.8652,2.4321,-0.998,-0.2993000000000001,-2.0,I
0.86,2.4400000000000004,-0.998,-0.30200000000000005,-2.0,II
0.14080000000000004,-1.5187,0.7198,1.6989999999999998,-1.0409000000000002,III
-0.13440000000000007,2.4369,-0.009000000000000008,-0.2935,-2.0,II
-1.1400000000000001,-0.505,-1.0550000000000002,1.635,1.065,III
-0.2795000000000001,-1.0657,1.9454,-0.1734,-0.42680000000000007,III
0.9374,2.3563,-0.9990000000000001,-0.2947000000000001,-2.0,II
-0.9658,1.3948,1.819,-0.257,-1.991,II
-1.2094999999999998,1.4434,0.9228999999999999,-0.16500000000000004,-0.9918,II
-0.8160000000000001,2.3176,0.7015,-0.20810000000000006,-1.995,I
-2.0846,0.3866,1.999,0.6759999999999999,-0.977,III
0.8973,2.4027000000000003,-0.984,-0.31600000000000006,-2.0,I
1.2888,0.9719,-1.0,0.7393,-2.0,I
0.7638999999999999,1.4365,0.8641,-1.0645,-2.0,II
-1.6215000000000002,-0.18130000000000002,1.9938,-1.08,0.889,III
1.0181,1.7014,0.020100000000000007,-1.6263,-1.1133000000000002,III
0.8393,2.4234,-0.5937000000000001,-0.6977000000000002,-1.9713,I
-2.14,-0.292,2.0,-0.5680000000000001,1.0,I
0.9256,2.3744,-0.585,-0.7150000000000001,-2.0,I
-0.3164,2.1063,-0.15179999999999993,0.3619,-2.0,II
0.8616,2.4383999999999997,-0.9929999999999999,-0.30700000000000005,-2.0,II
0.86,2.4400000000000004,-0.9950000000000001,-0.30500000000000005,-2.0,II
0.8575,2.4400000000000004,-0.9642999999999999,-0.33350000000000013,-1.9997,II
-0.1513,2.114,-0.47099999999999986,0.496,-1.9877,II
0.8607,2.4393000000000002,-0.9410000000000001,-0.3590000000000001,-2.0,I
-0.13290000000000002,2.4400000000000004,0.0,-0.30710000000000004,-2.0,II
-1.1442999999999999,1.7440000000000002,-0.9957,1.391,-0.995,II
-0.14049999999999996,-0.5595,-2.0,1.693,1.0070000000000001,I
-0.14,2.4400000000000004,-0.921,0.621,-2.0,II
-0.11670000000000003,2.4086,-0.29169999999999996,-0.0050000000000001155,-1.9952,I
-2.14,0.44000000000000017,-1.0,0.7,2.0,V
1.7307000000000001,1.569,-0.3147,-1.0110000000000001,-1.974,I
0.8594999999999999,2.4375,-0.5680000000000001,-0.7290000000000001,-2.0,II
1.857,1.443,-0.56,-0.74,-2.0,I
0.8597,2.4398,-1.0,-0.2995000000000001,-2.0,I
0.8228,2.4400000000000004,-0.09179999999999999,-1.171,-2.0,II
0.9172,2.2877,-0.20229999999999992,-1.0026,-2.0,II
0.9536,2.3464,-0.49,-0.81,-2.0,I
1.8534,1.4448,-0.006199999999999983,-1.292,-2.0,II
-2.1142,-0.5858000000000001,0.0,1.7,1.0,V
-0.0993,2.4398999999999997,-0.40459999999999996,-0.9090000000000001,-1.0270000000000001,I
0.24040000000000006,1.44,1.4466,-1.127,-2.0,II
0.86,2.4400000000000004,-0.8999999999999999,-0.4,-2.0,II
0.8649,2.4351000000000003,-0.9910000000000001,-0.30900000000000005,-2.0,I
-1.1385,2.4314999999999998,0.616,0.09099999999999997,-2.0,II
-1.1399,0.43989999999999996,-2.0,1.7,1.0,I
0.8575999999999999,2.4395,-0.9701,-0.32700000000000007,-2.0,II
-1.1400000000000001,1.44,2.0,-0.30000000000000004,-2.0,II
-0.23099999999999998,-0.5665,-0.9015,1.7,-0.0010000000000000009,III
0.86,2.4400000000000004,-0.9950000000000001,-0.30500000000000005,-2.0,IV
-1.117,1.417,1.7389999999999999,-0.039000000000000035,-2.0,II
0.15949999999999998,2.4108,-0.7586999999999999,0.1884,-2.0,I
-1.2943,-1.2435,1.7838,-0.20800000000000007,0.962,III
1.834,1.38,-0.974,-0.24,-2.0,I
0.8573,2.4398,-0.867,-0.4300999999999999,-2.0,IV
0.45089999999999997,2.4400000000000004,-1.0,0.10909999999999997,-2.0,II
0.8809,2.4191000000000003,-0.7130000000000001,-0.5870000000000002,-2.0,I
0.86,2.4400000000000004,-0.942,-0.3580000000000001,-2.0,II
-1.1376,0.44039999999999996,-0.9194,1.338,0.2786,III
-1.0379,-0.6622999999999999,-0.9998,1.6909999999999998,1.009,III
-0.21489999999999998,-0.48510000000000003,-2.0,1.133,1.567,I
0.8897,2.3975,-0.5087999999999999,-0.7795000000000001,-1.9989,I
-2.14,0.43900000000000006,-0.999,1.689,1.0110000000000001,V
1.8506,1.4316,-0.5402,-0.779,-1.963,I
0.86,2.4400000000000004,-0.992,-0.30800000000000005,-2.0,II
-1.1716,-0.495,-1.0273999999999999,1.696,0.998,II
0.9807,2.2640000000000002,0.0032999999999998586,-1.7349999999999999,-1.513,I
-0.14,2.4400000000000004,-0.9910000000000001,0.691,-2.0,II
-0.2653000000000001,2.3906,-0.2812999999999999,0.15599999999999997,-2.0,II
0.9023,2.3971999999999998,-0.25850000000000006,-1.041,-2.0,II
0.86,2.4400000000000004,-1.0,-0.30000000000000004,-2.0,I
-1.0323000000000002,1.3187000000000002,1.071,0.629,-1.9864,IV
-2.0892,0.48799999999999993,2.0,0.494,-0.8928,III
0.8567,2.4370000000000003,-0.13680000000000003,-1.1569,-2.0,II
-1.1381000000000001,2.4400000000000004,-1.0,0.7,-1.0019,V
1.0177,2.2783,-0.31199999999999994,-0.984,-2.0,I
-0.13569999999999993,1.4674,-0.9967000000000001,1.665,-2.0,IV
0.9358,2.3642000000000003,-0.9279999999999999,-0.372,-2.0,I
0.8607,2.4393000000000002,-0.982,-0.31800000000000006,-2.0,I
-0.14,2.4400000000000004,-0.15300000000000002,-0.14700000000000002,-2.0,II
0.9107999999999999,2.3891999999999998,-1.0,-0.30000000000000004,-2.0,II
-1.7088,0.2629999999999999,1.9813,-1.2534999999999998,0.718,III
-2.1399,0.43990000000000007,2.0,-1.3,1.0,II
1.7842,1.5158,-0.0030000000000000027,-1.2970000000000002,-2.0,I
0.86,2.4400000000000004,-1.0,-0.30000000000000004,-2.0,II
0.86,2.4400000000000004,-0.998,-0.30200000000000005,-2.0,II
-0.05109999999999998,-0.5598000000000001,-1.001,1.644,-0.03209999999999996,II
0.86,2.4400000000000004,-0.20799999999999996,-1.092,-2.0,II
0.8592,2.4400000000000004,-0.9461999999999999,-0.3530000000000001,-2.0,I
0.9963,2.3037,-0.988,-0.31200000000000006,-2.0,II
0.86,2.4400000000000004,-0.929,-0.371,-2.0,I
-0.4737,1.2681,1.6692,-0.5996000000000001,-1.864,III
1.8205,1.4795,-0.698,-0.6020000000000001,-2.0,I
0.905,2.395,-0.01100000000000001,-1.2890000000000001,-2.0,I
0.9507,2.3493000000000004,-0.010000000000000009,-1.29,-2.0,II
-1.9343,1.2203,1.9889999999999999,-1.2890000000000001,0.014000000000000012,III
1.1761,2.1225,-0.07759999999999989,-1.2360000000000002,-1.9849999999999999,I
